#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
NZ|HLBS|-39.644313|176.843038|10.000000|Hastings Library|2024-06-14T03:53:00|
NZ|HLRZ|-38.251917|176.352195|576.000000|Highlands Station|2008-02-04T21:58:00|
NZ|HMCS|-42.716922|170.963959|9.000000|Hokitika Medical Centre|2001-11-12T00:00:00|
NZ|HNCZ|-38.385812|176.287991|645.000000|Handcock Road|2023-08-23T23:19:00|
NZ|HNPS|-39.671017|176.880107|24.000000|Havelock North Primary School|2002-04-26T00:00:00|
NZ|HOCS|-40.621644|175.279423|27.000000|Levin Horowhenua College|2001-10-18T00:00:00|
NZ|HORC|-43.539636|171.959908|181.000000|Hororata School|2004-11-29T00:00:00|
NZ|HORZ|-43.777300|170.105500|943.000000|Mount Hodgkins|2025-01-30T22:19:00|
NZ|HOWZ|-40.897331|175.515085|475.000000|Holdsworth Station|2007-02-22T00:00:00|
NZ|HPRZ|-42.608026|171.772603|1147.000000|Haupiri|2025-03-19T01:30:50|
NZ|HPSZ|-42.608280|171.773800|1135.000000|Haupiri|2014-06-01T00:00:00|
NZ|HRMT|-38.812862|175.996331|385.999000|Horomatangi Reefs|2022-12-22T00:31:15|
NZ|HSES|-42.523242|172.830494|377.000000|Hanmer Springs Emergency Centre|2002-02-24T00:00:00|
NZ|HSPZ|-44.049854|169.303678|1237.000000|Haast Pass|2025-02-27T03:00:00|
NZ|HSRZ|-38.311300|176.244900|470.000000|Hossack Road|2010-04-13T00:00:00|
NZ|HSSS|-41.151935|174.981477|124.000000|Lower Hutt Haywards Substation|2002-06-14T00:00:00|
NZ|HTPZ|-35.365712|174.012961|247.000000|Hautapu|2022-12-19T02:31:00|
NZ|HUKS|-39.260510|174.568100|171.000000|Huiakama School|2002-11-21T00:00:00|
NZ|HUNS|-43.579370|172.657230|207.000000|Huntsbury|2012-04-18T00:00:00|
NZ|HVSC|-43.579787|172.709423|25.000000|Heathcote Valley Primary School|2008-05-12T00:00:00|
NZ|HWHS|-39.585139|174.274245|110.000000|Hawera High School|2002-03-12T00:00:00|
NZ|ICCS|-46.411594|168.346923|23.000000|Invercargill City Council|2002-06-11T00:00:00|
NZ|IFMZ|-43.023815|171.060776|1339.000000|Mount Inframeta|2025-03-16T22:26:00|
NZ|IFPS|-42.726744|171.472835|156.000000|Inchbonnie Fitzsimmons|2002-04-30T00:00:00|
NZ|INGS|-41.857124|171.952546|73.000000|Inangahua Fire Station|2002-04-16T00:00:00|
NZ|INHS|-39.156220|174.190525|210.000000|Inglewood High School|2002-07-25T00:00:00|
NZ|INSS|-41.233517|174.921116|32.000000|Lower Hutt GNS Nuclear Sciences|2000-05-16T00:00:00|
NZ|INZ|-42.724500|171.444100|165.000000|Inchbonnie|2011-01-26T00:00:00|
NZ|IVVZ|-39.237150|175.556380|1663.000000|Iwikau Village|2009-01-29T00:00:00|
NZ|JBLZ|-35.533871|174.391294|212.000000|Jubilee|2022-12-20T22:30:00|
NZ|JBTT|-43.973708|168.615693|0.000000|Jackson Bay|2025-06-27T04:16:12|
